highway,direction,exit,exit_name
Jackie Robinson Parkway, EB, Exit 4, Forest Park Dr
Jackie Robinson Parkway, EB, Exit 5, Myrtle Ave/Woodhaven Blvd
Jackie Robinson Parkway, EB, Exit 6, Metropolitian Ave/Queens Blvd
Jackie Robinson Parkway, EB, Exit 7, NB VWE
Jackie Robinson Parkway, EB, Exit 8W, WB GCP
Jackie Robinson Parkway, EB, Exit 8E, EB GCP

JFK Expressway, NB, Beginning of Highway
JFK Expressway, NB, Exit 1, S. Cargo Rd
JFK Expressway, NB, Exit 2, WB Belt Pkwy/EB Nassau Expwy
JFK Expressway, NB, EB Belt Pkwy
JFK Expressway, SB, WB Belt Pkwy
JFK Expressway, SB, Cargo Service Rd/Terms 1 & 4
JFK Expressway, SB, Exit 2, 148th St
JFK Expressway, SB, Exit 1, S. Cargo Rd
JFK Expressway, SB, Terms 5/7/8

Bruckner Expressway, WB, Cross Bronx Expwy
Bruckner Expressway, WB, Exit 53, White Plains Rd
Bruckner Expressway, WB, Exit 51, Bronx River Ave
Bruckner Expressway, WB, Exit 50, Tiffany St,
Bruckner Expressway, WB, Exit 48, Leggett Ave/Hunts Point Ave
Bruckner Expressway, WB, Exit 47, MDE
RFK Bridge, WB, Exit 46, FDR Drive
RFK Bridge, WB, Exit 46A, Randalls Island
RFK Bridge, WB, BQE
BQE, WB, Exit 45, 31st St/Astoria Blvd
BQE, WB, EB GCP/LGA Airport
BQE, WB, Exit 41, Northern Blvd
BQE, WB, Exit 40, Broadway/Roosevelt Ave
BQE, WB, Exit 39W, WB Queens Blvd
BQE, WB, Exit 39E EB Queens Blvd/58th St
BQE, WB, Exit 35, LIE/Greenpoint Ave
BQE, WB, Exit 34, Meeker Ave/Vandervoort Ave
BQE, WB, Exit 32B, Metropolitan Ave
BQE, WB, Exit 32A, Williamsburg Br
BQE, WB, Exit 31, Wythe Ave/Kent Ave
BQE, WB, Exit 29 Tillary St/Manhattan Br
BQE, WB, Exit 28, Camdan Plaza W/Brooklyn Br
BQE, WB, Exit 27, Atlantic Ave
BQE, WB, Exit 26, Hamilton Ave/Hugh Carey Tunnel
Gowanus Expwy, WB, Exit 24, EB Prospect Expwy
Gowanus Expwy, WB, Exit 23, 39th St
Gowanus Expwy, WB, Exit 22, EB Belt Pkwy
Gowanus Expwy, WB, Exit 20, 6th Ave
Gowanus Expwy, WB, Exit 19, 96th St
Gowanus Expwy, WB, Exit 17, 92nd St
Gowanus Expwy, WB, Verrazano Bridge
Staten Island Expressway, WB, Exit 15N, Bay St
Staten Island Expressway, WB, Exit 15S, SB Lily Pond Ave/Father Capodanno Blvd
Staten Island Expressway, WB, Exit 15W, WB Narrows Rd/Fingerboard Rd
Staten Island Expressway, WB, Exit 14, Hylan Blvd
Staten Island Expressway, WB, Exit 13B, Richmond St/Targee St
Staten Island Expressway, WB, Exit 13A, Clove Rd
Staten Island Expressway, WB, Exit 12, Todt Hill Rd/Slosson Ave
Staten Island Expressway, WB, Exit 11, Bradley Ave
Staten Island Expressway, WB, Exit 10, Victory Blvd
Staten Island Expressway, WB, Exit 9, NB Dr. Martin Luther King Jr Expwy
Staten Island Expressway, WB, Exit 7, Richmond Ave
Staten Island Expressway, WB, Exit 6, South Ave
Staten Island Expressway, WB, Exit 5, SB West Shore Expwy
Staten Island Expressway, WB, Exit 3, Western Ave
Staten Island Expressway, WB, Goethals Br
Staten Island Expressway, EB, Goethals Br
Staten Island Expressway, EB, Exit 4, Forest Ave
Staten Island Expressway, EB, Exit 5, SB West Shore Expwy
Staten Island Expressway, EB, Exit 7, Richmond Ave
Staten Island Expressway, EB, Exit 8, Victory Blvd
Staten Island Expressway, EB, Exit 9, NB Dr. Martin Luther King Jr Expwy
Staten Island Expressway, EB, Exit 11, Bradley Ave
Staten Island Expressway, EB, Exit 12, Todt Hill Rd/Slosson Ave
Staten Island Expressway, EB, Exit 13, Clove Rd/Richmond Rd/Targee St
Staten Island Expressway, EB, Exit 14, Hylan Blvd
Staten Island Expressway, EB, Exit 15, Fingerboard Rd/Lily Pond Ave
Staten Island Expressway, EB, Verrazono Bridge
Gowanus Expwy, EB Exit 16, EB Belt Pkwy
Gowanus Expwy, EB Exit 17, 92nd St
Gowanus Expwy, EB Exit 18, Fort Hamilton Parkway
Gowanus Expwy, EB Exit 20, 7th Ave/65th St
Gowanus Expwy, EB Exit 21, 3rd Ave
Gowanus Expwy, EB Exit 23, 38th St
Gowanus Expwy, EB Exit 24, EB Prospect Expwy
Gowanus Expwy, EB Exit, Exit 25, Hugh Carey Tunnel
BQE, EB, Exit 26, Hamilton Ave
